timestamps,TP9,AF7,AF8,TP10,Right AUX
1605307745.745,-143.066,-38.574,-27.344,-61.523,0.000
1605307745.748,-33.691,-19.531,-44.922,-17.090,0.000
1605307745.752,110.840,-1.953,-18.066,38.574,0.000
1605307745.756,70.312,-0.488,-27.832,8.789,0.000
1605307745.760,-55.664,-9.766,-18.066,-32.227,0.000
1605307745.764,-61.523,3.418,56.641,22.949,0.000
1605307745.768,-36.133,-4.395,1.953,16.113,0.000
1605307745.772,77.148,-8.301,-38.574,32.227,0.000
1605307745.776,85.938,-9.277,-48.828,12.695,0.000
1605307745.780,-66.406,-40.039,-57.129,-60.059,0.000
1605307745.784,-168.457,-41.504,-46.387,-88.867,0.000
1605307745.788,-93.750,-19.531,-40.527,-44.922,0.000
1605307745.791,69.824,4.395,-46.387,16.113,0.000
1605307745.795,81.055,-0.977,-59.082,0.977,0.000
1605307745.799,35.156,12.695,40.527,30.762,0.000
1605307745.803,-69.336,-5.859,61.035,8.789,0.000
1605307745.807,-110.840,-34.668,-30.273,-45.410,0.000
1605307745.811,47.363,-21.484,-47.363,-2.441,0.000
1605307745.815,114.258,14.160,-50.293,12.207,0.000
1605307745.819,-12.207,-15.137,-52.246,-37.109,0.000
1605307745.823,-179.199,-77.637,-51.270,-104.004,0.000
1605307745.827,-137.695,-45.410,-17.578,-59.570,0.000
1605307745.830,41.504,9.277,-22.949,33.203,0.000
1605307745.834,117.188,22.461,-26.367,50.781,0.000
1605307745.838,-3.418,-25.391,-24.414,-11.719,0.000
1605307745.842,-175.293,-68.848,-64.453,-88.379,0.000
1605307745.846,-136.230,-38.086,-41.992,-63.965,0.000
1605307745.850,25.879,-19.531,-17.578,1.465,0.000
1605307745.854,133.301,8.301,15.137,55.664,0.000
1605307745.858,132.324,46.875,87.891,105.469,0.000
1605307745.862,-101.074,-28.320,-7.324,-42.969,0.000
1605307745.866,-171.875,-57.129,-51.758,-82.520,0.000
1605307745.870,9.766,-27.832,-30.762,1.953,0.000
1605307745.873,125.977,-16.113,-15.625,42.969,0.000
1605307745.877,41.992,-9.277,-24.414,0.000,0.000
1605307745.881,-129.395,-41.992,-47.363,-68.359,0.000
1605307745.885,-157.227,-48.340,-28.809,-55.664,0.000
1605307745.889,-42.969,-17.578,-25.879,-24.902,0.000
1605307745.893,199.707,84.473,89.844,135.254,0.000
1605307745.897,201.172,90.820,96.191,130.371,0.000
1605307745.901,-110.840,-44.434,-51.758,-84.473,0.000
1605307745.905,-191.406,-84.961,-51.270,-110.352,0.000
1605307745.909,-35.156,-31.738,-10.742,-33.203,0.000
1605307745.913,104.980,15.137,-16.602,30.762,0.000
1605307745.916,47.852,-17.090,-43.945,1.953,0.000
1605307745.920,-125.000,-63.477,-36.133,-73.730,0.000
1605307745.924,-183.105,-45.898,-24.902,-88.379,0.000
1605307745.928,-62.500,-12.695,-23.926,-30.273,0.000
1605307745.932,92.285,1.465,-14.648,32.715,0.000
1605307745.936,76.172,-8.301,-34.180,21.973,0.000
1605307745.940,-70.801,-41.992,-33.203,-46.387,0.000
1605307745.944,-172.363,-59.570,-30.762,-95.703,0.000
1605307745.948,-56.152,-13.672,-1.953,-26.367,0.000
1605307745.952,184.570,22.949,76.660,117.188,0.000
1605307745.955,125.977,-1.953,20.508,39.551,0.000
1605307745.959,-88.379,-45.410,-38.574,-77.637,0.000
1605307745.963,-184.082,-57.617,-41.504,-92.285,0.000
1605307745.967,-99.609,-16.602,-13.672,-39.551,0.000
1605307745.971,75.684,17.578,16.113,27.832,0.000
1605307745.975,110.840,0.977,-6.836,25.391,0.000
1605307745.979,-33.691,-31.250,-32.227,-46.875,0.000
1605307745.983,-183.594,-49.316,-42.969,-104.492,0.000
1605307745.987,-43.945,17.090,53.711,29.785,0.000
1605307745.991,149.414,64.941,52.734,111.328,0.000
1605307745.995,106.934,5.859,-54.688,34.180,0.000
1605307745.998,-33.691,-62.988,-42.969,-40.039,0.000
1605307746.002,-179.199,-77.637,-26.855,-103.516,0.000
